Port,Protocol,Count
123,udp,21
3306,tcp,1
221,tcp,1
9002,tcp,1
6379,tcp,2
42355,tcp,1
5593,tcp,1
1080,tcp,1
23,tcp,19
12023,tcp,1
2223,tcp,1
30310,udp,1
8443,tcp,2
3022,tcp,1
2052,tcp,1
61616,tcp,2
55555,tcp,1
35660,udp,1
33066,udp,1
3283,udp,1
27017,tcp,1
44142,udp,1
49398,udp,1
56958,udp,1
35362,udp,1
800,tcp,1
22,tcp,2
20041,tcp,1
53068,udp,1
21201,tcp,1
5672,tcp,1
20763,tcp,1
7077,tcp,1
443,tcp,3
4433,tcp,1
8080,tcp,3
8888,tcp,2
10186,tcp,1
6969,udp,1
49695,tcp,1
4509,tcp,1
0,icmp,12
5353,udp,1
5930,tcp,1
7173,tcp,1
10027,tcp,1
56433,udp,1
1195,tcp,1
36601,udp,1
445,tcp,1
8083,tcp,1
18245,tcp,1
4567,tcp,1
1959,tcp,1
8111,tcp,1
1018,tcp,1
80,tcp,3
8069,tcp,1
6264,tcp,1
30205,tcp,1
12181,tcp,1
89,tcp,1
771,tcp,1
54321,tcp,1
9200,tcp,3
56726,udp,1
43365,udp,1
26876,tcp,1
4353,tcp,1
8545,tcp,1
18084,tcp,1
2638,tcp,1
4840,tcp,1
7006,tcp,1
111,tcp,1
5555,tcp,3
8728,tcp,4
5900,tcp,1
40815,tcp,1
3847,tcp,1
7771,tcp,1
1000,tcp,1
24181,tcp,1
3204,tcp,1
3132,tcp,1
8871,tcp,1
3390,tcp,1
40322,tcp,1
5060,udp,1
50526,tcp,1
5921,tcp,1
2202,tcp,1
51506,udp,1
7547,tcp,2
52431,tcp,3
1015,tcp,1
3260,tcp,2
53,udp,1
1212,tcp,1
58793,udp,1
26,tcp,1
8834,tcp,1
1723,tcp,1
3128,tcp,1
53272,tcp,1
4343,tcp,1
85,tcp,1
4530,tcp,1
9000,tcp,1
56824,udp,1
42910,udp,1
36780,udp,1
49485,udp,1
49152,tcp,1
58806,udp,1
18080,tcp,1
53234,udp,1
3389,tcp,1
1433,tcp,1
2222,tcp,1
5631,tcp,1
39749,tcp,1
33532,udp,1
5985,tcp,1
8000,tcp,1
49160,tcp,1
4500,tcp,1
